ABRESCHVILLER;124;4
ST PERAVY LA COLOMBE;125;3
LANGLEY;135;2
CHALAUTRE LA PETITE;151;7
CORREZE;184;1
LOCMINE;191;6
HONDAINVILLE;34;1
MIGNE;181;0
PAILHAC;107;0
WUENHEIM;88;1
VARENNES ST HONORAT;158;0
HEULAND;273;37
WIGNEHIES;114;2
ORIGNOLLES;279;0
CADILLAC EN FRONSADAIS;348;3
CUIGNIERES;98;2
LAMA;55;4
SOUCIRAC;193;1
VILLERS DEVANT LE THOUR;141;1
CONNAC;222;2
PAZY;148;2
ST SORLIN DE CONAC;575;5
THENEUILLE;165;1
BERTREVILLE ST OUEN;148;1
ARGUT DESSOUS;318;53
ST LEGER DU GENNETEY;85;1
THOIRES;128;3
ST CHRISTOPHE EN BAZELLE;126;0
NAVACELLES;271;4
ROSIS;289;11
FRESNOY ANDAINVILLE;47;1
CHAMPIGNEUL CHAMPAGNE;147;2
MONTFORT;543;18
TROCY EN MULTIEN;145;5
LA CHAPELLE CECELIN;292;7
PORT EN BESSIN HUPPAIN;271;66
MOLAMBOZ;108;0
ATTRAY;150;2
ROCHESSON;146;7
FAREBERSVILLER;117;0
PIERRELATTE;255;0
POUMAROUS;154;3
IMBLEVILLE;158;1
RURANGE LES THIONVILLE;218;14
ST URCIZE;169;0
NAUSSAC FONTANES;193;3
MOULAY;219;1
LAPLEAU;195;1
MONTREDON DES CORBIERES;263;9
MIGNY;130;1
AMIGNY;253;6
CHERMIZY AILLES;121;2
MALISSARD;219;0
MOULARES;220;7
LE CABANIAL;183;2
ST GERMAIN SUR SEVES;203;2
BORS DE BAIGNES;317;1
BERNEVILLE;70;4
VILLERS FARLAY;118;1
LA CHARCE;283;4
SIROD;314;3
BLERUAIS;227;5
BARTENHEIM;244;64
MEUNG SUR LOIRE;154;0
ST VICTOR DES OULES;180;2
LOURENTIES;188;2
CATTENIERES;73;0
MAINSAT;166;2
PRADIERS;187;3
TREVES;472;13
PARCEY;188;3
BOUXIERES AUX BOIS;149;4
BOIRY STE RICTRUDE;34;0
L HOPITAL D ORION;180;3
LA JARNE;1117;233
CARPIQUET;246;11
ST PRIEST EN MURAT;165;2
LE ROUSSET MARIZY;141;0
MARCILLY LA CAMPAGNE;165;3
STE JALLE;270;1
ESCAMES;139;3
ORBESSAN;100;1
TROUVILLE SUR MER;518;93
NIEPPE;64;24
CHATRES SUR CHER;163;2
VILLELAURE;326;5
MARS;320;2
LANLOUP;161;21
ST ANTOINE LA FORET;174;5
MONCHAUX SORENG;119;5
SERIGNAN DU COMTAT;288;0
TRESSANGE;353;66
MELLIONNEC;159;12
CARRIERES SOUS POISSY;157;2
SIROS;192;2
MARY;143;1
ST DENIS LA CHEVASSE;431;8
OSSE;203;4
GRANDVALS;173;1
NARGIS;123;1
BINIVILLE;201;2
ST AUBIN ROUTOT;108;2
Y;103;1
OBERDORF SPACHBACH;91;2
LAPEGE;199;22
TROISFONTAINES;131;2
COLEMBERT;34;1
FOURNEAUX LE VAL;207;3
TAXENNE;181;1
CHISSEY EN MORVAN;130;1
SORBO OCAGNANO;46;21
LA TOUR EN MAURIENNE;764;176
GEZONCOURT;165;0
VOUTENAY SUR CURE;149;0
CONDE;146;2
GUITINIERES;377;4
SELOMMES;172;2
BETHANCOURT EN VALOIS;137;4
LE DOUHET;366;2
AUTOUILLET;140;5
ELLECOURT;126;2
ST MARCEL BEL ACCUEIL;210;3
HYMONT;127;1
STE ANNE SUR GERVONDE;206;1
VILLERS SUR BONNIERES;127;5
ST MORILLON;337;2
COUSTOUGES;107;41
ST GIRONS D AIGUEVIVES;429;1
COURBEHAYE;75;0
CREON;320;1
SERANDON;157;3
BEAUCOURT;152;2
VOUDENAY;147;1
SAVIGNY EN SEPTAINE;134;1
VANTOUX ET LONGEVELLE;192;1
COLLONGES AU MONT D OR;90;0
ST JEAN DE MINERVOIS;289;6
LE PLESSIS BELLEVILLE;138;1
MONTSERIE;185;7
STE HELENE DU LAC;169;3
ST CHRISTOPHE DES BARDES;260;1
JAULZY;124;6
CREOT;78;3
VERONNE;230;0
ST JEAN DES ECHELLES;162;2
LES ESSARTS;184;2
DOUCIER;283;2
MINIAC SOUS BECHEREL;276;2
HOLACOURT;81;0
MOUTIER D AHUN;141;2
CROS DE MONTVERT;175;0
BAZANCOURT;214;1
BENONCES;243;4
CAIRANNE;266;1
BAUDRIERES;172;3
POUZAUGES;298;8
SASSETOT LE MALGARDE;46;1
LA PENNE SUR L OUVEZE;283;12
CHANCEAUX SUR CHOISILLE;179;0
LE CAIRE;336;7
LA CHAPELLE DES MARAIS;296;11
ST HILAIRE LA GRAVELLE;159;3
MONTBAZIN;537;28
ST OUEN DES ALLEUX;279;0
LA TRINITE DES LAITIERS;196;3
GUITRANCOURT;154;1
DALUIS;266;3
MAZEROLLES;1460;16
LA MEYZE;151;3
ESPERAUSSES;246;3
LANO;43;3
PINON;133;3
CRISTOT;248;3
MONPAZIER;193;2
HANVEC;70;5
AMBRINES;31;0
ROQUECOR;171;1
ORANGE;341;13
MAGNY LES JUSSEY;174;3
SENCONAC;103;7
COULMIER LE SEC;124;0
COULOMBIERS;213;0
LA CHAPELLE ST MARTIN EN PLAINE;140;0
INAUMONT;151;3
ROFFIAC;150;3
OYRE;204;1
LANS;143;1
PREVENCHERES;236;5
RORBACH LES DIEUZE;126;5
CHAMPEAU EN MORVAN;141;0
VILLERS FAUCON;82;1
SILLEY BLEFOND;101;3
AVRIGNEY VIREY;192;3
RUMEGIES;95;31
ST MARTIN D AOUT;196;2
SENLIS;176;7
LOUTEHEL;246;14
VILLONCOURT;133;2
TEILLET ARGENTY;122;0
ST BLIN;156;6
VOLGELSHEIM;151;39
MAEL CARHAIX;119;7
LA CORNE EN VEXIN;135;3
LAMALOU LES BAINS;313;4
BONNEMAIN;336;3
SENOVILLE;187;33
FRAIMBOIS;130;0
LAY LAMIDOU;182;35
TRAMPOT;141;2
LES EPARGES;143;1
MALHERBE SUR AJON;232;2
BOUSIES;67;2
ST MARTIN LE NOEUD;58;1
SAULGE;167;0
BULLAINVILLE;136;1
MONTROND LE CHATEAU;210;1
LANGRES;135;0
CAVILLON;104;2
ST ALLOUESTRE;182;4
ECHANDELYS;151;1
LES BOIS D ANJOU;214;1
CHALEY;258;6
L ECHELLE;189;31
LA PELLERINE;528;11
BONCOURT LE BOIS;78;0
TREZENY;82;7
SENEUJOLS;205;2
ROGNA;276;3
ANDELAIN;70;3
VILLERS AUX VENTS;168;8
BRUAILLES;225;1
SOMMETTE EAUCOURT;97;0
ST PIERRE AVEZ;328;13
MENETREOLS SOUS VATAN;142;1
BASLIEUX;264;18
GRUSON;53;4
BRIE SOUS ARCHIAC;295;2
DOEUIL SUR LE MIGNON;361;3
BRAUVILLIERS;162;1
FICHOUS RIUMAYOU;177;0
DAOURS;42;1
CHANDOLAS;222;1
ZUYTPEENE;41;6
COTTEVRARD;148;4
BRICQUEVILLE;209;1
ST GEORGES SUR MOULON;159;1
VERRIERES EN ANJOU;227;3
STE FLORENCE;230;1
TROIS VILLES;182;26
COMBAS;401;4
LA CELLE SUR LOIRE;123;1
SERE RUSTAING;169;3
ECALLES ALIX;147;2
MAISONS LAFFITTE;56;0
COMBOVIN;222;1
GELANNES;131;2
BUS LES ARTOIS;72;1
FEUILLADE;190;0
RETIERS;285;17
VILLEREAL;175;2
ASNIERES SUR SAONE;186;2
FORT MOVILLE;217;5
DOMLEGER LONGVILLERS;83;3
PORSPODER;30;8
BROUENNES;213;4
ST FORGEOT;150;0
VIREUX MOLHAIN;148;41
CORMOT VAUCHIGNON;115;0
BOUILLANCOURT LA BATAILLE;122;5
GIZIA;220;5
CHAUMONT EN VEXIN;141;5
MARLEMONT;167;3
ROGNY;62;1
BONDOUFLE;73;0
MUIDES SUR LOIRE;163;5
CHAMBORD;347;6
FONTAINE LE COMTE;196;1
OUVILLE L ABBAYE;143;2
FEROLLES ATTILLY;130;2
VILLEREAU;244;5
ST GERMAIN D ESTEUIL;940;187
COUSSEGREY;145;0
BIOZAT;153;2
SERCY;161;1
CREPY;161;0
BATHELEMONT;144;3
NEUILLE;208;1
BACQUEVILLE;125;3
CONTAY;76;1
ST AREY;344;25
CHAVEROCHE;176;1
STE COLOMBE EN AUXOIS;138;1
PALLUAU;526;38
ROMAGNE;807;17
ABITAIN;208;3
CHARVONNEX;492;50
VEZIERES;195;2
AULLENE;51;8
RATIERES;223;2
DIANT;140;4
LACOURT ST PIERRE;212;7
ST AUNIX LENGROS;158;1
LES BILLANGES;157;1
PARIGNE L EVEQUE;151;0
CHAMBORS;150;6
ST PARDOUX L ORTIGIER;182;2
BAZET;176;5
ST BOIL;145;1
MONCE EN BELIN;194;2
NIEDERLAUTERBACH;142;62
TOUSSIEUX;186;0
LABOISSIERE EN SANTERRE;99;1
ST PIERRE DU CHEMIN;290;2
ST AUBIN DE TERREGATTE;378;1
AOUZE;156;6
PLOUEC DU TRIEUX;154;4
LAON;105;2
LA MEURDRAQUIERE;397;4
BAZOUGES LA PEROUSE;346;15
RENTIERES;184;3
AVESNES;22;3
NEUILLY;295;5
MALICORNAY;156;0
RAON SUR PLAINE;116;9
ST ANDRE DE VALBORGNE;253;5
ROMAGNY;161;3
LONGUEVILLETTE;79;2
PEROLS SUR VEZERE;165;1
TEISSIERES LES BOULIES;176;3
BICKENHOLTZ;152;14
PONTHION;166;5
ST AVAUGOURD DES LANDES;767;83
MAROMME;138;2
MAURUPT LE MONTOIS;181;5
MOULINS SUR ORNE;208;1
ESTREBOEUF;99;7
BELBEZE EN COMMINGES;173;1
VILLEBAZY;168;6
HADOL;165;6
BOUSBECQUE;61;24
QUINCAMPOIX FLEUZY;100;0
ANOYE;178;2
TRONDES;182;1
PAULMY;182;1
ARRIGNY;152;1
CHAMPVANS LES MOULINS;108;3
VILLETTES;143;2
ST CRESPIN;168;5
FRESNES EN WOEVRE;170;3
LAGARDE HACHAN;167;1
ZELLENBERG;165;4
HANCOURT;108;3
LA MOTTE CHALANCON;272;1
CONCRESSAULT;144;1
FISLIS;102;3
OROUX;277;1
BARBEY SEROUX;131;2
HORVILLE EN ORNOIS;155;4
ANIZY LE GRAND;133;1
GAAS;240;7
ST PIERRE DE VARENGEVILLE;130;1
ASPRIERES;173;0
MARANGE SILVANGE;199;2
MONBARDON;170;4
CHASSIGNY SOUS DUN;159;3
PLOUVIEN;31;5
ROUGEOU;165;2
MARCEY LES GREVES;450;3
BULAN;153;22
AUTREY LES GRAY;164;1
PLOURIN;37;9
ESTEVELLES;38;1
NUZEJOULS;168;1
VERGONGHEON;159;1
MORETTE;241;2
ARBERATS SILLEGUE;218;4
ROUESSE FONTAINE;181;0
ST MARTIN LE GREARD;277;73
ANGLESQUEVILLE LA BRAS LONG;145;0
ST COLOMB DE LAUZUN;212;3
ROCHE LINOTTE ET SORANS CORDIERS;88;1
ST JEAN D AULPS;555;138
SERQUIGNY;189;4
LES TROIS MOUTIERS;231;4
CORNOD;288;12
MARINGUES;135;1
BOURRAN;211;2
FAUGERES;498;3
LUC SUR MER;379;69
COULADERE;186;7
THIEFFRAIN;124;0
LE GRAND LEMPS;225;1
RICQUEBOURG;58;1
ST ANDRE LES VERGERS;140;1
MONTREUIL DES LANDES;276;3
PREMONT;74;1
BRIATEXTE;194;7
CHATEAUNEUF DU RHONE;251;3
CHAMALOC;298;4
FEIGNEUX;144;8
NAZELLES NEGRON;164;1
MARQUERIE;73;1
GRATENTOUR;180;3
TERCILLAT;163;2
COTTUN;264;4
SOLAURE EN DIOIS;273;5
THIANCOURT;183;1
SOULTZ SOUS FORETS;127;18
DOUELLE;169;2
CORNOT;151;9
SAUVELADE;180;0
LONGUEVILLE;909;97
ST FIRMIN SUR LOIRE;141;2
MONTOULIEU;519;10
BOEN SUR LIGNON;171;1
CRASVILLE;287;4
ST PIERRE LA BRUYERE;161;2
LEZIGNEUX;196;2
MARNANS;223;3
SELLES;628;23
FLORAC TROIS RIVIERES;206;2
LIZIERES;169;0
VAUX SUR SEINE;143;2
PUILLY ET CHARBEAUX;218;2
BARATIER;447;48
MONTPINIER;111;5
CELLE LEVESCAULT;221;4
BAIVES;171;45
ARCONSAT;163;1
CHALANCEY;144;1
ST GEORGES SUR LA PREE;147;0
CAMPUGNAN;243;0
ST DOMET;151;4
ST VICTOR SUR OUCHE;149;2
LA GREVE SUR MIGNON;389;5
DOMMARTIN SOUS AMANCE;136;2
LEZINNES;139;2
GIRANCOURT;158;3
GROSBOIS;185;3
LOBSANN;119;4
LA CHAUX EN BRESSE;193;4
BOMPAS;302;6
CHAREY;147;1
NANTERRE;132;2
SIGLOY;130;3
PITHIVIERS;131;2
TRONGET;136;0
CHATILLON SUR LOIRE;130;0
ST COME;267;1
MONTJOIE LE CHATEAU;203;21
LA ROQUE D ANTHERON;406;42
CASTELSAGRAT;183;2
ST AUBIN DE BRANNE;300;1
CEYRESTE;449;94
MONTCUIT;249;6
MARMONT PACHAS;212;2
ST LEOPARDIN D AUGY;144;0
DURTOL;128;3
BRIE SOUS MORTAGNE;417;41
BEAUCOURT SUR L HALLUE;49;4
WARSY;114;2
LAPS;168;3
SAVERNE;121;2
ST CHRISTOPHE SUR LE NAIS;161;1
CHENILLE CHAMPTEUSSE;239;1
RIENCOURT;109;2
POGGIO D OLETTA;62;12
LUCCIANA;57;12
MONTMERLE SUR SAONE;194;3
HERSERANGE;276;47
ECHEBRUNE;325;1
LAMOTTE DU RHONE;285;2
TURGY;128;1
HEIWILLER;69;3
VARSBERG;202;31
ROQUEBILLIERE;265;59
ST PAUL SUR SAVE;162;3
CONFLANS SUR LANTERNE;157;6
CORSAINT;140;1
BAILLARGUES;679;75
LAVANNES;161;3
CIDEVILLE;154;1
THILLOIS;158;1
PENDE;165;48
LE VAULMIER;178;1
HAUCOURT EN CAMBRESIS;77;2
NONSARD LAMARCHE;169;4
VILLEFAGNAN;237;1
DIGNA;218;2
BOUVRON;425;11
PAVEZIN;107;1
RIVES DE L YON;543;23
LUSSAC;859;4
BLANCHEFOSSE ET BAY;178;2
ST LEGER LES VIGNES;404;21
JAULDES;215;2
SEIGY;151;1
LA MAROLLE EN SOLOGNE;163;1
BARRETAINE;245;2
BRIANCONNET;329;21
BEAUMONT LES VALENCE;240;0
COMMEQUIERS;621;104
ALLUY;127;3
BOUGY LEZ NEUVILLE;123;0
BALLANS;246;1
CHAMPLITTE;152;10
ALTENACH;80;0
MAUX;142;2
WASQUEHAL;20;4
ST ANDRONY;567;1
LUSSAN;466;11
AIZENAY;479;22
MOUFFY;152;3
VERMELLES;54;1
MEILHAN SUR GARONNE;245;0
MONTAIGU;236;9
ST GERMAIN DE JOUX;241;2
GUEPREI;110;2
CHATEAU LANDON;142;0
MIRAMONT DE QUERCY;205;4
LUSSAS;208;1
LOUGRES;174;2
MINZIER;307;2
FLEXBOURG;97;1
LUSSAT;304;4
HOURTIN;775;270
BIGNOUX;175;2
MACONGE;142;1
ST LAURENT LES EGLISES;184;2
DIUSSE;177;1
DIGNY;175;5
SARRALBE;166;0
VALLENTIGNY;187;13
SAN DAMIANO;20;0
BRISON ST INNOCENT;277;0
MEHARICOURT;79;3
VARNEVILLE BRETTEVILLE;145;1
SORANS LES BREUREY;166;2
PAISY COSDON;129;2
BELLEGARDE STE MARIE;167;7
MONT DAUPHIN;664;147
ALAINCOURT;223;8
ST GERMAIN SUR BRESLE;101;2
ST JEAN DE SERRES;336;2
ANSACQ;112;1
CUCURON;338;2
THOIRIA;359;19
CAMPREMY;122;3
GOUZENS;163;3
REIPERTSWILLER;230;50
MASCLAT;187;2
ORADOUR SUR GLANE;184;3
TREDANIEL;217;7
BAGNOLS SUR CEZE;283;5
POLEYMIEUX AU MONT D OR;186;0
LE LUART;167;0
MOLSHEIM;126;2
SEREZ;142;0
CONGY;143;3
RETOURNAC;167;0
GOMMERVILLE;413;26
BOUZEMONT;61;1
CHOCQUES;48;2
FRISE;89;2
PRASLIN;125;0
RAMPOUX;190;1
LA MOUCHE;372;17
MIGRE;355;5
BONREPOS;171;1
GODEWAERSVELDE;47;11
LABEUVRIERE;45;2
VALBONNE;321;63
MONTASTRUC SAVES;79;0
DAMBLAIN;150;2
CHADRON;192;1
MYON;221;3
CHABLIS;132;3
SAVIGNY SUR CLAIRIS;126;2
GALLARGUES LE MONTUEUX;703;91
MONTIGNY LES VAUCOULEURS;150;5
BREHAIN;163;3
CIRCOURT;145;0
GENAS;196;0
GENAT;205;12
BELVEZET;274;7
ST MARTIN DE BRETHENCOURT;148;6
CHELUN;264;9
LE GRAND BORNAND;458;44
ANNOIRE;156;2
BEAUMONT SUR GROSNE;165;0
BEALENCOURT;34;0
OUROUX EN MORVAN;154;1
LA BAZOGE MONTPINCON;216;3
GENAY;310;4
LAVAL ROQUECEZIERE;237;3
SABADEL LATRONQUIERE;184;1
TAURIERS;219;1
JAVAUGUES;167;2
VIODOS ABENSE DE BAS;302;36
BOSSUS LES RUMIGNY;175;10
DORLISHEIM;119;5
CHERIGNE;239;2
FONTAINE FRANCAISE;179;2
ST LEGER LES PARAY;152;1
PAILHES;580;38
VILLENEUVE SUR LOT;212;1
MANNEVILLE ES PLAINS;272;75
LE PETIT FOUGERAY;251;4
VILSBERG;113;3
CONTHIL;78;2
FURDENHEIM;91;1
COTI CHIAVARI;38;15
VESLUD;136;6
NIEDERNAI;165;13
ST AUBIN D APPENAI;163;3
MOUTIERS EN PUISAYE;115;1
ISSUS;180;5
ST CRICQ CHALOSSE;224;6
BRUNEMBERT;14;0
TRITH ST LEGER;41;3
JAULGES;138;1
BEAUREGARD L EVEQUE;153;2
GACE;208;3
POLVEROSO;14;0
CALLEVILLE LES DEUX EGLISES;147;4
BESSINES;275;1
TREVERIEN;283;2
LANDOUZY LA VILLE;180;15
RIGNY SUR ARROUX;146;0
CROIGNON;311;2
ROCHECHINARD;244;1
ENNETIERES EN WEPPES;42;6
MOUREUILLE;158;1
POMPONNE;130;2
BLAUSASC;221;36
VEILHES;157;2
TORCY ET POULIGNY;148;0
BETBEZE;153;6
PLIBOUX;224;1
MISON;322;8
LAUZUN;228;2
BELLEVIGNE EN LAYON;264;2
NOZIERES;345;8
AUXELLES HAUT;144;6
LACROUZETTE;225;4
CREZANCY;141;0
CHARLEVILLE SOUS BOIS;197;2
ANNEMASSE;285;1
LAVERSINE;127;0
GENNEVILLE;140;5
HENOUVILLE;168;4
VALLIERES LES GRANDES;145;3
MONTESPAN;228;21
CHASSIEU;215;2
ST SORLIN EN VALLOIRE;199;3
PRUDEMANCHE;164;10
NEUVILLE SUR MARGIVAL;109;4
GOUISE;171;3
GARLEDE MONDEBAT;179;1
LE DRENNEC;62;19
LANTAN;145;2
GUEBLING;150;0
LE CHAMP PRES FROGES;252;24
DAGNEUX;187;1
BAVILLIERS;90;2
CAUPENNE D ARMAGNAC;192;1
DALLON;95;3
ST MARTIN D ARROSSA;283;68
BOURDONNE;162;4
APCHAT;166;1
OREE D ANJOU;367;28
AUCHONVILLERS;69;0
CHEUST;118;7
LA TOUR DU MEIX;259;5
LUGON ET L ILE DU CARNAY;321;0
PLEAUX;200;0
TARASTEIX;193;4
SANTIGNY;135;2
BULCY;144;3
PUGINIER;196;3
LA HAUTEVILLE;82;1
ST PERE SUR LOIRE;137;1
VILLESEQUELANDE;196;1
WICKERSHEIM WILSHAUSEN;93;1
LABESSIERE CANDEIL;197;5
AUCALEUC;324;17
DAUPHIN;419;22
CORDESSE;124;0
LE BERNARD;914;177
BEAUMONT EN ARGONNE;225;3
ST VICTOR DE BUTHON;194;14
ST FRANCOIS LACROIX;295;39
ARBORAS;328;2
IVRY LA BATAILLE;151;0
ST BROINGT LES FOSSES;144;2
LEVONCOURT;253;2
TAUVES;160;2
ARCHIGNAC;189;1
LE POIRE SUR VIE;571;71
SAVIGNAC DE MIREMONT;171;2
ST DENISCOURT;105;1
VERCLAUSE;300;4
VEZAPONIN;117;0
CREST;220;3
CLAYEURES;139;0
ST SULPICE DES RIVOIRES;249;11
STE MARIE EN CHAUX;193;7
CHARGE;162;1
MASSIGES;181;6
LA LOGE AUX CHEVRES;155;3
AILLY;144;0
MANLAY;142;0
BIZANOS;194;5
VILLAFANS;165;3
CHAMBILLY;147;5
AUBERIVES EN ROYANS;254;3
ABONCOURT GESINCOURT;147;4
BOUILLY EN GATINAIS;142;1
VILLERS CAMPSART;101;2
MARCON;192;3
BLACQUEVILLE;125;1
CAMPSAS;190;4
ABONCOURT;262;1
CORTEVAIX;166;0
BOIS DE LA PIERRE;151;0
VALINES;126;8
SAVINS;126;0
VILLEMORIEN;118;1
SANS VALLOIS;83;0
VARINFROY;133;2
TARTECOURT;163;3
GILLONNAY;219;0
ARCHIGNAT;174;3
LAMEAC;168;0
MUTZENHOUSE;91;0
ST DENIS D ORQUES;184;0
LES LANDES GENUSSON;398;28
ST JUIRE CHAMPGILLON;416;17
AVERNES;128;2
TEMPLEUX LA FOSSE;56;2
MAXEY SUR MEUSE;138;0
VILLERS SUR AUCHY;114;2
VERNOIS LES VESVRES;170;3
PAS DE JEU;196;1
LOUBIENG;196;2
SEMILLAC;473;2
GOMETZ LE CHATEL;132;1
LE CHATELET SUR RETOURNE;146;10
NANDAX;141;2
LA SAULSOTTE;146;4
VANAULT LES DAMES;168;3
COLLIOURE;158;49
ST GEORGES DE RENEINS;181;0
COZES;875;129
CAZIDEROQUE;181;1
VESOUL;152;3
CHAUMONT LE BOURG;165;1
TAVANT;191;3
ST DESERT;140;0
LORIENT;97;9
AYZIEU;215;1
LADIGNAC SUR RONDELLES;169;3
SEYCHES;205;0
LEGEVILLE ET BONFAYS;137;2
VAL DE SAANE;163;1
ANCEMONT;138;0
BILHAC;158;1
BULLES;111;5
XERTIGNY;164;9
ENTREPIERRES;344;4
BELONCHAMP;170;4
PRAILLES LA COUARDE;247;0
PENNEDEPIE;447;78
IZERON;279;3
SPELONCATO;51;2
VILLERS BRULIN;31;3
ALTRIPPE;186;2
MAROLS;164;2
SAVAS MEPIN;210;1
PONT STE MAXENCE;61;1
PETIT CAUX;231;49
VILLENEUVE SUR ALLIER;131;0
CHENAY LE CHATEL;185;0
WACQUINGHEN;25;2
HUGLEVILLE EN CAUX;122;1
COURJEONNET;160;3
GRENOIS;157;1
LOURMARIN;366;11
CASTELFERRUS;179;1
VALAURIE;272;1
AIZY JOUY;120;1
PLOUGRESCANT;147;68
AVANNE AVENEY;178;6
LE PLANOIS;197;2
LARNOD;97;1
NIEUL LE VIROUIL;426;1
LE CAUSE;195;1
ST OST;150;2
DIJON;119;0
PLEDRAN;215;16
ST LEGER DE MONTBRILLAIS;220;2
VAUX ET CHANTEGRUE;449;33
ST REMY SUR AVRE;137;4
BATSERE;96;12
CHAPTELAT;174;1
LOTHEY;107;4
PREIXAN;183;1
CUISERY;159;1
TRALONCA;55;2
COUPVRAY;130;1
CHAUMES EN RETZ;594;106
BUTOT VENESVILLE;198;44
ECRAINVILLE;175;4
ST SAUVEUR LES BRAY;127;1
BRECONCHAUX;82;0
LUNEVILLE;113;1
ROQUEFORT;542;6
PONT CROIX;50;11
EGUENIGUE;70;0
VICQ D AURIBAT;137;0
LE PIAN SUR GARONNE;252;1
CURIERES;191;2
MORBECQUE;44;2
WARVILLERS;77;1
BEUVRIGNY;277;2
ST JOUIN;389;43
LOUZES;207;5
PIEVE;54;3
MORGNY LA POMMERAYE;130;2
SARIAC MAGNOAC;140;1
OYE PLAGE;28;8
DESERVILLERS;254;0
AIX LES BAINS;292;3
AUNAY LES BOIS;172;3
MOIDIEU DETOURBE;212;0
ALLONZIER LA CAILLE;350;3
TRACY SUR MER;255;70
MEDIS;1017;210
DONNERY;134;1
COMBES;276;6
NOUZIERS;163;2
ST JEAN DE DURAS;196;0
CHATEAU SUR CHER;159;0
CHABRIS;130;3
PEROY LES GOMBRIES;134;2
LE CLOITRE PLEYBEN;100;5
BANTIGNY;101;5
ST PIERRE SUR ERVE;199;0
ST SERNIN DU PLAIN;68;1
BOURG ST ANDEOL;258;1
LA SAUVE;324;0
SASSEGNIES;138;37
GRANDHAM;171;4
ELISE DAUCOURT;143;3
DROITURIER;141;0
LIMEYRAT;183;3
BRICONVILLE;145;0
MOURET;160;4
CASSAGNES BEGONHES;238;12
GAJOUBERT;196;2
SAULXURES SUR MOSELOTTE;175;17
LUCENAY L EVEQUE;151;2
ETALLE;246;46
SAVERDUN;183;2
BRUSVILY;264;4
CUQUERON;222;3
PALLUEL;68;1
ST PARDOUX DE DRONE;202;2
TANUS;196;3
BOURG ARGENTAL;191;0
LUMIGNY NESLES ORMEAUX;141;4
SILLEGNY;142;0
BERBIGUIERES;173;3
BONNEMAISON;210;2
LOCHWILLER;100;1
CONTES;237;21
LATTRE ST QUENTIN;49;0
LA VENDELEE;461;78
SERGY;444;4
JUPILLES;170;0
POYOLS;281;5
ROUILLY SACEY;164;15
FRAIGNOT ET VESVROTTE;150;1
TOURCOING;62;25
HAMES BOUCRES;45;13
MENNOUVEAUX;140;1
ST ANDRE DE MAJENCOULES;289;5
NEAUPHLETTE;142;0
BADEFOLS SUR DORDOGNE;195;0
ST MARTIN D AUXY;149;1
ST AVIT LE PAUVRE;159;0
UBAYE SERRE PONCON;422;28
NANCUISE;249;4
LANZAC;192;3
VALLIGUIERES;335;5
BRINGOLO;138;2
ROPPE;176;5
CARDROC;260;7
COLAYRAC ST CIRQ;214;3
LA FEREE;172;3
CAMBOUNES;238;4
MANTALLOT;108;16
LANDES VIEILLES ET NEUVES;116;0
MOYEMONT;156;2
